case,cosine,pearson,jensen_shannon,gaussian_cross_correlation,d_sf_shell_balanced,d_amplitude_shell_balanced,d_phase_shell_balanced
exact_homometric,0.9999999999999999,0.9999999999999999,0.9999999955987471,1.0,0.37398577721515686,5.797823875051386e-16,0.37398577721515686
near_homometric,0.9999356974930591,0.9999106073368685,0.9893132585526886,0.9999463023641001,0.3749989454891062,0.025846692534526528,0.37410714722251337
realistic_compatible,0.9993645238879041,0.9990407267024527,0.9810155809486755,0.9994378307921408,0.038463773722172495,0.02776187641943001,0.026622173213747657
resolution_broad,0.9996651656560984,0.9994979948661843,0.9839389346368439,0.9998276311695296,,,
resolution_high,0.9376735218069508,0.9359757867538814,0.7134106926761488,0.9605528881746679,,,
