candidate,parameter_path,value
oxygen-shift candidate,lattice_parameterization.log_strain_coordinates[4],-0.007949131035305219
oxygen-shift candidate,lattice_parameterization.log_strain_coordinates[5],-0.004371721239553376
oxygen-shift candidate,coordinate_displacements[0],0.009110140431055031
oxygen-shift candidate,coordinate_displacements[1],-0.0036653452802005563
oxygen-shift candidate,coordinate_displacements[2],0.0005658311964742202
oxygen-shift candidate,coordinate_displacements[3],0.008438368107064498
oxygen-shift candidate,coordinate_displacements[4],-0.002668715880829688
oxygen-shift candidate,coordinate_displacements[5],0.00026816547361041386
oxygen-shift candidate,coordinate_displacements[6],-0.011006425486316532
oxygen-shift candidate,coordinate_displacements[7],-0.0020100714789939513
oxygen-shift candidate,coordinate_displacements[8],0.00048315210873074656
oxygen-shift candidate,coordinate_displacements[9],0.00612549532513442
oxygen-shift candidate,coordinate_displacements[10],0.008661797387831583
oxygen-shift candidate,coordinate_displacements[11],-0.009010116476342386
oxygen-shift candidate,occupancy_mode,"""fixed"""
oxygen-shift candidate,structural_restraint_mean_chi_squared,0.0
oxygen-shift candidate,fit_objective,"""gaussian"""
oxygen-shift candidate,mean_poisson_deviance,null
