coordinate,observed,sigma,included,reference motif.calculated,reference motif.residual,oxygen-shift candidate.calculated,oxygen-shift candidate.residual
18.0,4.52,2.1260291625469296,1,4.004926334192069,0.5150736658079307,3.997168638343975,0.5228313616560247
18.08,4.5212,2.1263113600787635,1,4.014483453165878,0.5067165468341219,4.006660281789368,0.5145397182106324
18.16,4.5224,2.126593520163174,1,4.025512946199502,0.49688705380049836,4.017612278789777,0.5047877212102234
18.24,4.5236,2.126875642815066,1,4.038434136610483,0.4851658633895175,4.030440522824476,0.49315947717552433
18.32,4.5248,2.127157728049333,1,4.053831561098393,0.47096843890160667,4.045724770335537,0.47907522966446336
18.4,4.526,2.127439775880859,1,4.072540656652664,0.45345934334733595,4.0642936288291205,0.4617063711708793
18.48,4.5272,2.1277217863245186,1,4.0957903797615565,0.4314096202384432,4.087366014548519,0.43983398545148056
18.56,4.5283999999999995,2.1280037593951753,1,4.125450508218394,0.4029494917816052,4.116796443637449,0.4116035563625502
18.64,4.5296,2.1282856951076847,1,4.164481598161407,0.36511840183859334,4.1555213389639425,0.3740786610360578
18.72,4.5308,2.12856759347689,1,4.217802012825331,0.3129979871746693,4.208419045542829,0.32238095445717097
18.8,4.532,2.1288494545176273,1,4.294079186163771,0.23792081383622943,4.284086660997014,0.24791333900298618
18.88,4.5332,2.129131278244721,1,4.409764912462213,0.12343508753778654,4.398842986501535,0.13435701349846507
18.96,4.5344,2.1294130646729865,1,4.599248953472082,-0.0648489534720822,4.586801408740003,-0.05240140874000332
19.04,4.535600001011089,2.1296948140546075,1,4.944441419585317,-0.4088414185742284,4.92922004105579,-0.3936200400447012
19.12,4.536944497252862,2.13001044533891,1,5.680650478502631,-1.1437059812497692,5.659562024590677,-1.1226175273378152
19.2,5.131822020999032,2.2653525158347945,1,8.307721467556718,-3.1758994465576853,8.262407304379227,-3.130585283380195
19.28,74.71371651619127,8.643709650155497,1,79.85745065598873,-5.143734139797459,79.52773696837345,-4.814020452182177
19.36,243.00778085502841,15.588706837163512,1,258.9879723709994,-15.980191515970972,258.5383846815402,-15.530603826511793
19.44,27.84423091814083,5.276763299423315,1,15.236508242348389,12.607722675792441,15.179019485797621,12.66521143234321
19.52,4.608279801413795,2.146690429804399,1,5.8142785284610286,-1.2059987270472332,5.795438698489798,-1.187158897076003
19.6,4.544005290980645,2.1316672561590484,1,4.906150779639088,-0.36214548865844254,4.8929885735922065,-0.3489832826115613
19.68,4.5452000000122945,2.131947466522638,1,4.5718721171677466,-0.026672117155452035,4.560783909054912,-0.015583909042617528
19.76,4.5464,2.1322288807724186,1,4.422695110202011,0.1237048897979891,4.412522350868871,0.13387764913112932
19.84,4.5476,2.1325102578885757,1,4.353069756370732,0.19453024362926818,4.343313372824381,0.20428662717561874
19.92,4.5488,2.132791597882925,1,4.326197165613405,0.22260283438659467,4.316586041245335,0.23221395875466477
20.0,4.55,2.1330729007701543,1,4.328165534462796,0.22183446553720376,4.318512867243108,0.23148713275689214
20.08,4.5512,2.1333541665649425,1,4.355217375705798,0.195982624294202,4.345356307827228,0.20584369217277132
20.16,4.5524000000000004,2.1336353952819587,1,4.410350490338513,0.14204950966148733,4.400090222429309,0.1523097775706912
20.240000000000002,4.5536,2.1339165869358623,1,4.504206491600271,0.04939350839972967,4.4932815363088,0.06031846369120064
20.32,4.5548,2.1341977415413034,1,4.660673246943301,-0.10587324694330125,4.648655433450136,-0.0938554334501358
20.4,4.556000000000007,2.1344788591129236,1,4.9331850569640245,-0.3771850569640174,4.919290422902795,-0.36329042290278757
20.48,4.557200018550704,2.1347599440102636,1,5.4550361349618885,-0.8978361164111845,5.437618606705212,-0.8804185881545079
20.56,4.559721892363068,2.13535053149666,1,6.630766522477883,-2.071044630114815,6.605669149668209,-2.0459472573051416
20.64,7.268283157035527,2.6959753628391203,1,12.51040043079945,-5.242117273763923,12.447983717525226,-5.179700560489699
20.72,164.16589210553335,12.81272383630949,1,170.3474683689915,-6.181576263458169,170.1883501971861,-6.022458091652766
20.8,274.996254911898,16.58301103273763,1,271.51611055181064,3.4801443600873654,270.88435293012805,4.111901981769961
20.88,17.73979148064049,4.211863183988826,1,11.7752963045521,5.964495176088391,11.717272237897072,6.022519242743419
20.96,4.582861665761232,2.140761935797914,1,6.117371735978498,-1.5345100702172658,6.097370882765823,-1.5145092170045906
21.04,4.565600743815303,2.1367266422767566,1,5.090484832498138,-0.5248840886828354,5.076792975461453,-0.5111922316461506
21.12,4.566800000000861,2.137007253146526,1,4.678966210838798,-0.11216621083793665,4.667720013740268,-0.1009200137394064
21.2,4.568,2.1372880011828075,1,4.476693108706853,0.09130689129314629,4.466623358237054,0.10137664176294603
21.28,4.5692,2.1375687123458746,1,4.3646877362712555,0.20451226372874487,4.355257780745229,0.21394221925477108
21.36,4.5704,2.137849386650051,1,4.298309570778875,0.2720904292211248,4.289250827924815,0.2811491720751853
21.44,4.5716,2.138130024109853,1,4.258005317729004,0.3135946822709963,4.249164117366415,0.32243588263358536
21.52,4.5728,2.1384106247397856,1,4.2344306855574825,0.3383693144425175,4.225706675531754,0.34709332446824614
21.6,4.574,2.1386911885543456,1,4.223183083559559,0.3508169164404409,4.214499155222927,0.3595008447770729
21.68,4.5752,2.13897171556802,1,4.222952523209619,0.3522474767903807,4.214234938401742,0.36096506159825736
21.76,4.5764,2.1392522057952865,1,4.235514656398436,0.3408853436015633,4.226671138076091,0.34972886192390895
21.84,4.577600000007728,2.1395326592524193,1,4.268144533238569,0.30945546676915914,4.259022428982669,0.31857757102505957
21.92,4.578802264282404,2.1398136050325514,1,4.343391631468286,0.23541063281411834,4.333660261263087,0.24514200301931766
22.0,4.5990766846447295,2.144545799148325,1,4.559055233643297,0.04002145100143295,4.5475087435738635,0.05156794107086604
22.08,9.202898722070305,3.0336279801699986,1,9.202988360136619,-8.963806631356874e-05,9.166323340784393,0.0365753812859122
22.16,36.780243456174084,6.064671751725239,1,37.73834350273523,-0.9581000465611496,37.67158965959156,-0.8913462034174771
22.240000000000002,11.033876918933162,3.3217280019491606,1,7.463854233235685,3.5700226856974764,7.444294584704366,3.589582334228796
22.32,4.621958344550736,2.1498740299261105,1,4.466479442065264,0.1554789024854717,4.456212184908329,0.16574615964240635
22.4,4.586006155463737,2.1414962422249864,1,4.329310372428751,0.25669578303498586,4.319886101976594,0.2661200534871435
22.48,4.587200000029322,2.141774964843254,1,4.292466760433755,0.2947332395955664,4.283246071331954,0.3039539286973678
22.560000000000002,4.5884,2.1420550879937705,1,4.288317960325161,0.30008203967483915,4.2790876402504985,0.30931235974950155
22.64,4.5896,2.142335174523352,1,4.3005497348989845,0.2890502651010154,4.291197388012947,0.2984026119870533
22.72,4.5908,2.1426152244395165,1,4.32464019753515,0.26615980246485016,4.31507871880851,0.27572128119148953
22.8,4.592,2.1428952377566195,1,4.360262375425997,0.23173762457400304,4.350402027917276,0.24159797208272327
22.88,4.5932,2.143175214489007,1,4.409536744474172,0.18366325552582818,4.399267377091065,0.19393262290893531
22.96,4.5944,2.1434551546510137,1,4.477058294496908,0.11734170550309209,4.466229758089533,0.12817024191046755
23.04,4.5956,2.1437350582569668,1,4.571073734756176,0.024526265243824064,4.559465759288546,0.03613424071145399
23.12,4.5968,2.1440149253211835,1,4.706361872639039,-0.1095618726390386,4.693629417903716,-0.09682941790371569
23.2,4.598,2.144294755857972,1,4.910874723561633,-0.3128747235616327,4.896437317730369,-0.29843731773036897
23.28,4.5992,2.144574549881631,1,5.242339892627429,-0.6431398926274294,5.225131389324442,-0.6259313893244425
23.36,4.600400000384946,2.1448543074961863,1,5.835873096033885,-1.2354730956489393,5.813692476014632,-1.213292475629686
23.44,4.601683428900464,2.145153474439641,1,7.070329888164725,-2.468646459264261,7.037806978671398,-2.436123549770934
23.52,5.1227474657420435,2.263348728265718,1,10.678776788952575,-5.556029323210532,10.613185921062035,-5.490438455319992
23.6,97.78531473934345,9.888645748500826,1,98.39289151281825,-0.6075767734748041,97.79795687225219,-0.012642132908737835
23.68,484.8079292723327,22.018354372485078,1,508.9896235997185,-24.181694327385856,507.95002644023276,-23.14209716790009
23.759999999999998,75.76818553688915,8.704492261866234,1,39.570217739634444,36.197967797254705,39.46149721737328,36.30668831951587
23.84,4.91084627247191,2.216042931098563,1,8.454780763451254,-3.5439344909793435,8.41881813970091,-3.507971867229
23.92,4.608837159557014,2.146820243885597,1,6.589209269290309,-1.9803721097332945,6.564574187314973,-1.9557370277579587
24.0,4.610000000829455,2.1470910555515466,1,6.190505365820619,-1.580505364991164,6.167815756446145,-1.5578157556166898
24.08,4.611309677459751,2.1473960225025452,1,6.5734266081154,-1.9621169306556494,6.547165211967014,-1.9358555345072634
24.16,5.10760571259524,2.2600012638481513,1,8.674068100103845,-3.5664623875086052,8.629817311474785,-3.5222115988795446
24.240000000000002,68.90906343060429,8.30114831999792,1,69.79600081260992,-0.8869373820056268,69.51960779491142,-0.6105443643071311
24.32,244.66464960456443,15.641759798838635,1,255.09289155039966,-10.428241945835225,254.50079579798913,-9.836146193424696
24.4,30.3886104141807,5.512586544824552,1,17.734822338703708,12.653788075476992,17.649344732351448,12.739265681829252
24.48,5.862160402636278,2.42118987331359,1,9.910998940391151,-4.048838537754873,9.855601929597217,-3.9934415269609387
24.560000000000002,74.32479918243715,8.621183166041488,1,75.842991411967,-1.518192229529859,75.53134166982065,-1.2065424873835013
24.64,124.51385999768439,11.1585778662733,1,123.9665547229159,0.5473052747684903,123.8311924037224,0.6826675939619946
24.72,10.562576039871445,3.2500116984207064,1,10.25266856762614,0.309907472245305,10.214980765527873,0.34759527434357196
24.8,13.414440274820645,3.6625729036867845,1,16.961113934219814,-3.5466736593991683,16.88333136530247,-3.4688910904818258
24.88,192.1461832923259,13.861680392085438,1,196.08517443698372,-3.9389911446578196,196.0171830246621,-3.8709997323362018
24.96,119.7422808231177,10.94268161024151,1,98.64232329561952,21.099957527498177,98.49249279728527,21.24978802583243
25.04,6.657758096127042,2.5802631835002883,1,7.659263457754285,-1.0015053616272436,7.633742487429512,-0.97598439130247
25.12,4.627831569800662,2.1512395426359805,1,5.592678441786571,-0.9648468719859089,5.577581565201381,-0.9497499954007189
25.2,4.628000015057961,2.151278693023747,1,4.96384916888419,-0.3358491538262287,4.951940905491103,-0.3239408904331418
25.28,4.629200000000006,2.1515575753393184,1,4.678301871453459,-0.049101871453452794,4.667845861167441,-0.03864586116743496
25.36,4.6304,2.1518364250100426,1,4.522648372982878,0.10775162701712215,4.5129916043997955,0.11740839560020433
25.44,4.6316,2.152115238550204,1,4.427559098192749,0.2040409018072511,4.418396950098255,0.213203049901745
25.52,4.6328,2.152394015973841,1,4.3648568315518474,0.26794316844815214,4.35602574061908,0.27677425938091993
25.6,4.634,2.1526727572949866,1,4.321232466170321,0.31276753382967915,4.312635495441011,0.32136450455898924
25.68,4.6352,2.1529514625276622,1,4.289683711474703,0.3455162885252969,4.281259057791084,0.3539409422089159
25.759999999999998,4.6364,2.153230131685882,1,4.266215515635351,0.3701844843646489,4.257921493300269,0.3784785066997314
25.84,4.6376,2.1535087647836497,1,4.248400572020511,0.3891994279794888,4.240207770805927,0.3973922291940726
25.92,4.6388,2.1537873618349606,1,4.23468849170159,0.4041115082984099,4.226575377351253,0.41222462264874693
26.0,4.64,2.1540659228538015,1,4.224048203576146,0.4159517964238537,4.215998502172165,0.4240014978278346
26.08,4.6411999999999995,2.1543444478541494,1,4.215771106328507,0.4254288936714925,4.207772172470606,0.43342782752939346
26.16,4.6424,2.1546229368499725,1,4.209357059592032,0.43304294040796787,4.201398815717924,0.4410011842820767
26.240000000000002,4.6436,2.1549013898552296,1,4.204445488243818,0.4391545117561826,4.196519709949159,0.4470802900508408
26.32,4.6448,2.1551798068838712,1,4.20077223961953,0.44402776038046987,4.192872058117822,0.451927941882178
26.4,4.646,2.1554581879498382,1,4.198141757184639,0.4478582428153608,4.19026130199623,0.45573869800376965
26.48,4.6472,2.155736533067063,1,4.196408703921929,0.4507912960780711,4.188542838111287,0.45865716188871275
26.560000000000002,4.6484,2.1560148422494683,1,4.195465618593209,0.45293438140679054,4.187609735903692,0.46079026409630774
26.64,4.6496,2.156293115510969,1,4.195234556592546,0.454365443407454,4.187384420022773,0.4622155799772276
26.72,4.6508,2.1565713528654693,1,4.195661461741444,0.45513853825855666,4.187813069311961,0.4629869306880394
26.8,4.652,2.156849554326866,1,4.196712495453258,0.4552875045467424,4.188861962681357,0.4631380373186431
26.880000000000003,4.6532,2.157127719909046,1,4.198371853691953,0.4548281463080466,4.190515304488337,0.4626846955116628
26.96,4.6544,2.157405849625888,1,4.200640807655359,0.45375919234464046,4.192774266447952,0.46162573355204817
27.04,4.6556,2.157683943491261,1,4.203537857606258,0.4520621423937419,4.195657135709835,0.4599428642901646
27.12,4.6568000000000005,2.1579620015190257,1,4.207100021931875,0.4496999780681259,4.199200590569259,0.45759940943074184
27.200000000000003,4.658,2.1582400237230335,1,4.211385420647663,0.44661457935233706,4.203462261484367,0.4545377385156337
27.28,4.6592,2.1585180101171266,1,4.216477480749642,0.4427225192503581,4.208524902041588,0.45067509795841243
27.36,4.6604,2.158795960715139,1,4.222491325497573,0.43790867450242743,4.214502727420955,0.4458972725790451
27.439999999999998,4.6616,2.159073875530895,1,4.2295832662925825,0.43201673370741744,4.221550831751284,0.44004916824871554
27.52,4.6628,2.1593517545782115,1,4.237964889223529,0.4248351107764705,4.22987916469809,0.4329208353019096
27.6,4.664,2.159629597870894,1,4.247924190693096,0.41607580930690347,4.239773502441607,0.4242264975583927
27.68,4.6652000000000005,2.1599074054227416,1,4.259857893881915,0.4053421061180851,4.251627512397968,0.4135724876020328
27.759999999999998,4.6664,2.1601851772475436,1,4.274322114518946,0.39207788548105427,4.26599302388956,0.40040697611044074
27.84,4.6676,2.1604629133590794,1,4.292114271765074,0.375485728234926,4.283661299250421,0.3839387007495789
27.92,4.6688,2.1607406137711207,1,4.314410448421796,0.35438955157820384,4.305799319194202,0.36300068080579795
28.0,4.67,2.1610182784974308,1,4.343005935590333,0.32699406440966694,4.3341884417077186,0.3358115582922814
28.08,4.6712,2.161295907551763,1,4.380758746875021,0.29044125312497915,4.371664433203672,0.29953556679632776
28.16,4.6724,2.1615735009478625,1,4.432459662204924,0.2399403377950753,4.422980669285994,0.24941933071400602
28.240000000000002,4.6736,2.1618510586994657,1,4.506673549894788,0.1669264501052128,4.4966349581892775,0.17696504181072292
28.32,4.6748,2.162128580820299,1,4.620024980320854,0.05477501967914655,4.609121392585234,0.06567860741476661
28.4,4.676000000000042,2.162406067324091,1,4.808477260382661,-0.1324772603826192,4.796120581222333,-0.12012058122229075
28.48,4.677200063022878,2.1626835327950498,1,5.162363980220403,-0.48516391719752505,5.147256160575314,-0.4700560975524368
28.560000000000002,4.681164624400378,2.1635999224441607,1,5.964972352578993,-1.2838077281786147,5.9435859299676,-1.262421305567222
28.64,8.166989565844954,2.857794528276124,1,10.477233993119018,-2.310244427274064,10.415815400932043,-2.2488258350870893
28.72,131.18100027609398,11.453427446668266,1,130.73612272998733,0.4448775461066532,130.32906100809114,0.8519392680028375
28.8,136.6316931372189,11.688956032820847,1,125.21636444681285,11.415328690406042,125.02830706322078,11.60338607399811
28.880000000000003,8.640982995424281,2.9395548975013686,1,8.156869461339252,0.48411353408502933,8.127754016320354,0.5132289791039266
28.96,4.687813673604767,2.1651359480653327,1,5.786351929851412,-1.0985382562466448,5.769140240129333,-1.0813265665245657
29.04,4.685600084675434,2.1646246983427484,1,5.338596102239235,-0.652996017563801,5.324249694836502,-0.6386496101610684
29.12,4.686802534619704,2.164902430739017,1,5.337392811766374,-0.6505902771466694,5.323405097956166,-0.6366025633364618
29.200000000000003,4.7122972147522,2.170782627245805,1,5.7343885912172565,-1.022091376465056,5.718954145292461,-1.0066569305402604
29.28,11.386914177929757,3.3744502038005773,1,11.84699556477583,-0.46008138684607225,11.8254649316757,-0.4385507537459432
29.36,57.78167780810867,7.6014260377976886,1,61.2003853542306,-3.4187075461219294,61.37903702303715,-3.597359214928481
29.439999999999998,16.846616833629287,4.104463038404572,1,14.679894403412508,2.1667224302167796,14.670487185894306,2.1761296477349816
29.52,28.98463700987626,5.383738200347065,1,28.2432829115286,0.7413540983476601,28.11532679322638,0.869310216649879
29.6,320.8348966312709,17.91186468883882,1,329.9027150853839,-9.067818454112967,329.52981381328135,-8.694917182010443
29.68,123.39441466319249,11.108303860769766,1,97.82521262640206,25.56920203679043,97.51042207551001,25.883992587682485
