candidate,parameter_path,value
oxygen-shift candidate,lattice_parameterization.log_strain_coordinates[5],-0.004860627102938131
oxygen-shift candidate,coordinate_displacements[0],0.012312053899735937
oxygen-shift candidate,coordinate_displacements[1],-0.0037313137872076758
oxygen-shift candidate,coordinate_displacements[2],0.004328044418800129
oxygen-shift candidate,coordinate_displacements[3],0.010935735413418005
oxygen-shift candidate,coordinate_displacements[4],-0.0019635800174102086
oxygen-shift candidate,coordinate_displacements[5],0.0034731791092402274
oxygen-shift candidate,coordinate_displacements[6],-0.009069403487525602
oxygen-shift candidate,coordinate_displacements[7],-0.0011441212957756148
oxygen-shift candidate,coordinate_displacements[8],0.0038538833616935534
oxygen-shift candidate,coordinate_displacements[9],0.007279818166750452
oxygen-shift candidate,coordinate_displacements[10],0.008255328781949157
oxygen-shift candidate,coordinate_displacements[11],-0.007085399115330755
oxygen-shift candidate,occupancy_mode,"""fixed"""
oxygen-shift candidate,structural_restraint_mean_chi_squared,0.0
oxygen-shift candidate,fit_objective,"""gaussian"""
oxygen-shift candidate,mean_poisson_deviance,null
